iter	Passed	Remaining
1034	53316	49710
1035	53363	49654
1036	53413	49602
1037	53463	49548
1038	53511	49494
1039	53564	49444
1040	53616	49393
1041	53668	49341
1042	53727	49297
1043	53794	49260
1044	53852	49214
1045	53907	49165
1046	53961	49116
1047	54013	49065
1048	54057	49007
1049	54115	48961
1050	54171	48913
1051	54221	48860
1052	54267	48804
1053	54318	48752
1054	54370	48701
1055	54422	48650
1056	54471	48596
1057	54517	48540
1058	54571	48490
1059	54638	48453
1060	54696	48407
1061	54762	48368
1062	54824	48326
1063	54889	48286
1064	54944	48238
1065	54992	48182
1066	55053	48139
1067	55110	48092
1068	55163	48042
1069	55211	47987
1070	55269	47941
1071	55326	47894
1072	55387	47851
1073	55443	47803
1074	55492	47748
1075	55549	47701
1076	55595	47646
1077	55647	47594
1078	55706	47549
1079	55770	47507
1080	55824	47458
1081	55879	47409
1082	55933	47360
1083	55988	47311
1084	56049	47267
1085	56100	47215
1086	56166	47175
1087	56219	47124
1088	56271	47073
1089	56318	47018
1090	56372	46968
1091	56427	46919
1092	56478	46867
1093	56528	46813
1094	56581	46764
1095	56638	46716
1096	56691	46665
1097	56744	46614
1098	56812	46577
1099	56869	46529
1100	56928	46483
1101	56978	46430
1102	57031	46379
1103	57080	46326
1104	57129	46272
1105	57177	46217
1106	57231	46167
1107	57284	46116
1108	57338	46067
1109	57390	46015
1110	57446	45967
1111	57493	45911
1112	57549	45863
1113	57610	45819
1114	57665	45770
1115	57713	45715
1116	57774	45671
1117	57839	45630
1118	57890	45577
1119	57942	45526
1120	57997	45476
1121	58053	45428
1122	58110	45380
1123	58164	45331
1124	58218	45281
1125	58269	45228
1126	58317	45174
1127	58371	45124
1128	58425	45073
1129	58479	45023
1130	58537	44976
1131	58592	44928
1132	58644	44875
1133	58704	44831
1134	58761	44782
1135	58816	44734
1136	58874	44686
1137	58925	44634
1138	58978	44583
1139	59032	44533
1140	59082	44480
1141	59129	44425
1142	59178	44371
1143	59229	44318
1144	59281	44266
1145	59337	44217
1146	59387	44165
1147	59436	44111
1148	59490	44061
1149	59535	44004
1150	59587	43953
1151	59637	43899
1152	59686	43845
1153	59745	43799
1154	59800	43750
1155	59858	43702
1156	59929	43665
1157	59981	43613
1158	60037	43564
1159	60094	43516
1160	60156	43472
1161	60206	43419
1162	60257	43366
1163	60306	43312
1164	60358	43261
1165	60411	43210
1166	60466	43160
1167	60521	43111
1168	60576	43061
1169	60630	43011
1170	60687	42963
1171	60746	42916
1172	60807	42870
1173	60863	42821
1174	60918	42772
1175	60973	42722
1176	61027	42672
1177	61080	42621
1178	61139	42574
1179	61196	42526
1180	61250	42475
1181	61306	42427
1182	61358	42375
1183	61409	42322
1184	61446	42260
1185	61500	42210
1186	61551	42158
1187	61587	42095
1188	61639	42043
1189	61698	41996
1190	61761	41952
1191	61801	41892
1192	61850	41838
1193	61898	41784
1194	61953	41734
1195	62004	41682
1196	62059	41632
1197	62110	41579
1198	62170	41533
1199	62219	41479
1200	62270	41427
1201	62322	41375
1202	62373	41323
1203	62425	41271
1204	62479	41220
1205	62549	41181
1206	62605	41131
1207	62655	41078
1208	62711	41029
1209	62769	40981
1210	62830	40935
1211	62881	40883
1212	62935	40832
1213	62988	40781
1214	63039	40729
1215	63093	40678
1216	63153	40631
1217	63207	40581
1218	63263	40532
1219	63323	40485
1220	63374	40433
1221	63429	40383
1222	63486	40334
1223	63541	40284
1224	63586	40228
1225	63639	40177
1226	63693	40126
1227	63761	40084
1228	63814	40033
1229	63872	39984
1230	63925	39934
1231	63989	39889
1232	64035	39833
1233	64086	39781
1234	64141	39731
1235	64189	39677
1236	64234	39620
1237	64284	39567
1238	64334	39514
1239	64385	39461
1240	64426	39403
1241	64480	39352
1242	64531	39300
1243	64583	39248
1244	64634	39196
1245	64688	39145
1246	64746	39096
1247	64812	39053
1248	64861	39000
1249	64912	38947
1250	64963	38895
1251	65027	38850
1252	65075	38795
1253	65125	38742
1254	65172	38687
1255	65222	38635
1256	65273	38582
1257	65324	38530
1258	65376	38477
1259	65439	38432
1260	65492	38381
1261	65545	38329
1262	65592	38275
1263	65640	38220
1264	65695	38170
1265	65752	38121
1266	65805	38070
1267	65858	38019
1268	65918	37971
1269	65966	37918
1270	66018	37865
1271	66074	37816
1272	66131	37767
1273	66184	37715
1274	66239	37665
1275	66287	37611
1276	66340	37560
1277	66393	37508
1278	66449	37458
1279	66501	37407
1280	66549	37352
1281	66601	37300
1282	66648	37246
1283	66703	37195
1284	66762	37148
1285	66813	37095
1286	66861	37041
1287	66909	36987
1288	66960	36934
1289	67024	36889
1290	67076	36837
1291	67123	36782
1292	67179	36732
1293	67234	36682
1294	67283	36629
1295	67332	36575
1296	67386	36524
1297	67443	36475
1298	67495	36423
1299	67546	36371
1300	67597	36318
1301	67648	36266
1302	67709	36219
1303	67776	36174
1304	67830	36124
1305	67883	36072
1306	67935	36020
1307	67987	35969
1308	68041	35917
1309	68088	35863
1310	68139	35810
1311	68186	35756
1312	68236	35703
1313	68284	35649
1314	68338	35598
1315	68384	35543
1316	68432	35489
1317	68482	35436
1318	68535	35385
1319	68585	35332
1320	68634	35278
1321	68694	35230
1322	68766	35189
1323	68827	35141
1324	68877	35088
1325	68929	35036
1326	68975	34981
1327	69024	34927
1328	69071	34873
1329	69120	34820
1330	69176	34770
1331	69224	34716
1332	69275	34663
1333	69328	34612
1334	69376	34558
1335	69430	34507
1336	69482	34455
1337	69530	34401
1338	69578	34347
1339	69626	34293
1340	69681	34243
1341	69745	34197
1342	69799	34146
1343	69845	34091
1344	69892	34036
1345	69947	33986
1346	69996	33932
1347	70047	33880
1348	70105	33831
1349	70155	33778
1350	70203	33724
1351	70255	33672
1352	70307	33620
1353	70355	33566
1354	70405	33513
1355	70454	33460
1356	70506	33408
1357	70563	33359
1358	70613	33306
1359	70669	33256
1360	70732	33209
1361	70790	33160
1362	70846	33110
1363	70901	33059
1364	70952	33007
1365	71005	32955
1366	71055	32902
1367	71106	32850
1368	71157	32798
1369	71208	32745
1370	71263	32694
1371	71316	32643
1372	71370	32592
1373	71417	32538
1374	71467	32485
1375	71519	32433
1376	71571	32381
1377	71625	32330
1378	71684	32281
1379	71738	32230
1380	71795	32180
1381	71847	32128
1382	71893	32074
1383	71943	32021
1384	71998	31970
1385	72047	31917
1386	72099	31865
1387	72152	31813
1388	72205	31761
1389	72254	31708
1390	72305	31656
1391	72354	31603
1392	72402	31549
1393	72455	31497
1394	72499	31442
1395	72547	31388
1396	72600	31337
1397	72653	31285
1398	72707	31234
1399	72765	31185
1400	72823	31135
1401	72876	31084
1402	72927	31032
1403	72981	30980
1404	73035	30929
1405	73102	30883
1406	73169	30838
1407	73221	30786
1408	73284	30738
1409	73334	30685
1410	73382	30632
1411	73434	30580
1412	73483	30527
1413	73536	30475
1414	73588	30423
1415	73636	30370
1416	73689	30318
1417	73748	30269
1418	73800	30216
1419	73848	30163
1420	73900	30111
1421	73950	30058
1422	73996	30004
1423	74050	29952
1424	74101	29900
1425	74148	29846
1426	74197	29793
1427	74242	29738
1428	74291	29685
1429	74340	29632
1430	74394	29581
1431	74446	29529
1432	74493	29475
1433	74562	29429
1434	74610	29376
1435	74669	29326
1436	74741	29282
1437	74793	29230
1438	74843	29178
1439	74894	29125
1440	74957	29077
1441	75008	29025
1442	75060	28973
1443	75113	28921
1444	75180	28875
1445	75243	28827
1446	75296	28776
1447	75344	28722
1448	75393	28669
1449	75448	28618
1450	75490	28562
1451	75543	28510
1452	75600	28460
1453	75662	28412
1454	75719	28362
1455	75778	28312
1456	75833	28261
1457	75882	28208
1458	75936	28157
1459	75991	28106
1460	76049	28056
1461	76094	28002
1462	76145	27949
1463	76194	27896
1464	76263	27850
1465	76311	27796
1466	76360	27743
1467	76409	27690
1468	76462	27639
1469	76517	27587
1470	76573	27537
1471	76625	27485
1472	76693	27438
1473	76755	27390
1474	76810	27339
1475	76858	27285
1476	76912	27234
1477	76962	27181
1478	77019	27131
1479	77072	27079
1480	77124	27027
1481	77173	26974
1482	77222	26921
1483	77270	26867
1484	77317	26813
1485	77371	26762
1486	77419	26709
1487	77477	26658
1488	77530	26607
1489	77585	26556
1490	77658	26511
1491	77713	26460
1492	77781	26413
1493	77822	26357
1494	77874	26305
1495	77931	26254
1496	77984	26203
1497	78037	26151
1498	78104	26104
1499	78168	26056
1500	78219	26003
1501	78282	25955
1502	78329	25901
1503	78378	25848
1504	78413	25790
1505	78463	25737
1506	78506	25682
1507	78556	25629
1508	78609	25577
1509	78668	25528
1510	78722	25476
1511	78776	25425
1512	78825	25372
1513	78880	25320
1514	78938	25270
1515	78986	25217
1516	79046	25167
1517	79098	25115
1518	79147	25062
1519	79198	25010
1520	79255	24959
1521	79311	24908
1522	79370	24858
1523	79420	24805
1524	79473	24754
1525	79521	24700
1526	79571	24647
1527	79626	24596
1528	79691	24548
1529	79748	24497
1530	79796	24444
1531	79843	24390
1532	79893	24338
1533	79945	24286
1534	80000	24234
1535	80053	24182
1536	80120	24135
1537	80166	24081
1538	80217	24028
1539	80270	23976
1540	80316	23922
1541	80362	23868
1542	80416	23817
1543	80464	23764
1544	80511	23710
1545	80563	23658
1546	80611	23605
1547	80660	23552
1548	80718	23501
1549	80771	23449
1550	80827	23398
1551	80872	23344
1552	80928	23293
1553	80977	23240
1554	81024	23187
1555	81078	23135
1556	81124	23081
1557	81179	23030
1558	81234	22979
1559	81285	22926
1560	81333	22873
1561	81387	22821
1562	81439	22769
1563	81488	22716
1564	81541	22664
1565	81594	22613
1566	81646	22560
1567	81704	22510
1568	81759	22458
1569	81810	22406
1570	81851	22351
1571	81899	22298
1572	81952	22246
1573	82002	22193
1574	82068	22145
1575	82117	22092
1576	82177	22042
1577	82242	21993
1578	82295	21942
1579	82349	21890
1580	82401	21838
1581	82455	21786
1582	82507	21734
1583	82559	21682
1584	82605	21628
1585	82666	21578
1586	82733	21530
1587	82797	21481
1588	82853	21430
1589	82907	21378
1590	82954	21325
1591	83018	21276
1592	83081	21226
1593	83144	21177
1594	83199	21125
1595	83247	21072
1596	83305	21021
1597	83359	20970
1598	83412	20918
1599	83465	20866
1600	83516	20813
1601	83567	20761
1602	83620	20709
1603	83683	20659
1604	83744	20609
1605	83793	20556
1606	83852	20506
1607	83902	20453
1608	83955	20401
1609	84006	20349
1610	84060	20297
1611	84112	20245
1612	84172	20195
1613	84220	20142
1614	84270	20089
1615	84316	20035
1616	84370	19983
1617	84434	19934
1618	84485	19882
1619	84540	19830
1620	84593	19778
1621	84652	19727
1622	84720	19679
1623	84770	19626
1624	84822	19574
1625	84873	19521
1626	84931	19471
1627	84980	19418
1628	85042	19368
1629	85090	19315
1630	85151	19264
1631	85197	19211
1632	85250	19159
1633	85303	19107
1634	85355	19054
1635	85408	19002
1636	85462	18951
1637	85516	18899
1638	85566	18846
1639	85612	18793
1640	85673	18742
1641	85734	18692
1642	85788	18640
1643	85838	18587
1644	85887	18535
1645	85939	18482
1646	85990	18430
1647	86044	18378
1648	86098	18326
1649	86152	18274
1650	86207	18223
1651	86252	18169
1652	86304	18117
1653	86363	18066
1654	86415	18014
1655	86462	17960
1656	86508	17907
1657	86557	17854
1658	86610	17802
1659	86670	17751
1660	86733	17701
